# Date,Value
1980-09,33.068
1980-10,34.120
1980-11,35.226
1980-12,36.313
1981-01,37.453
1981-02,38.614
1981-03,39.676
1981-04,40.867
1981-05,42.033
1981-06,43.253
1981-07,44.446
1981-08,45.694
1981-09,46.954
1981-10,48.185
1981-11,49.466
1981-12,50.714
1982-01,52.013
1982-02,53.321
1982-03,54.508
1982-04,55.827
1982-05,57.107
1982-06,58.433
1982-07,59.719
1982-08,61.048
1982-09,62.377
1982-10,63.661
1982-11,64.986
1982-12,66.264
1983-01,67.579
1983-02,68.886
1983-03,70.059
1983-04,71.349
1983-05,72.587
1983-06,73.855
1983-07,75.069
1983-08,76.306
1983-09,77.526
1983-10,78.690
1983-11,79.874
1983-12,81.001
1984-01,82.144
1984-02,83.259
1984-03,84.279
1984-04,85.346
1984-05,86.352
1984-06,87.364
1984-07,88.315
1984-08,89.261
1984-09,90.175
1984-10,91.027
1984-11,91.875
1984-12,92.662
1985-01,93.439
1985-02,94.171
1985-03,94.797
1985-04,95.455
1985-05,96.054
1985-06,96.632
1985-07,97.150
1985-08,97.637
1985-09,98.079
1985-10,98.466
1985-11,98.823
1985-12,99.125
1986-01,99.393
1986-02,99.606
1986-03,99.757
1986-04,99.883
1986-05,99.961
1986-06,99.996
1986-07,99.983
1986-08,99.916
1986-09,99.803
1986-10,99.650
1986-11,99.447
1986-12,99.207
1987-01,98.914
1987-02,98.566
1987-03,98.213
1987-04,97.782
1987-05,97.324
1987-06,96.809
1987-07,96.267
1987-08,95.661
1987-09,95.014
1987-10,94.350
1987-11,93.627
1987-12,92.891
1988-01,92.093
1988-02,91.252
1988-03,90.434
1988-04,89.528
1988-05,88.620
1988-06,87.652
1988-07,86.685
1988-08,85.652
1988-09,84.592
1988-10,83.541
1988-11,82.431
1988-12,81.335
1989-01,80.180
1989-02,78.999
1989-03,77.916
1989-04,76.700
1989-05,75.508
1989-06,74.261
1989-07,73.040
1989-08,71.764
1989-09,70.476
1989-10,69.221
1989-11,67.916
1989-12,66.646
1990-01,65.328
1990-02,64.004
1990-03,62.805
1990-04,61.477
1990-05,60.191
1990-06,58.862
1990-07,57.577
1990-08,56.253
1990-09,54.933
1990-10,53.660
1990-11,52.351
1990-12,51.091
1991-01,49.797
1991-02,48.513
1991-03,47.363
1991-04,46.100
1991-05,44.889
1991-06,43.649
1991-07,42.463
1991-08,41.253
1991-09,40.059
1991-10,38.917
1991-11,37.753
1991-12,36.642
1992-01,35.512
1992-02,34.403
1992-03,33.382
1992-04,32.308
1992-05,31.286
1992-06,30.250
1992-07,29.266
1992-08,28.272
1992-09,27.298
1992-10,26.376
1992-11,25.442
1992-12,24.558
1993-01,23.664
1993-02,22.796
1993-03,22.031
1993-04,21.202
1993-05,20.419
1993-06,19.631
1993-07,18.888
1993-08,18.144
1993-09,17.421
1993-10,16.740
1993-11,16.056
1993-12,15.413
1994-01,14.768
1994-02,14.147
1994-03,13.602
1994-04,13.017
1994-05,12.468
1994-06,11.918
1994-07,11.405
1994-08,10.894
1994-09,10.401
1994-10,9.940
1994-11,9.480
1994-12,9.051
1995-01,8.623
1995-02,8.214
1995-03,7.858
1995-04,7.477
1995-05,7.122
1995-06,6.770
1995-07,6.442
1995-08,6.120
1995-09,5.810
1995-10,5.522
1995-11,5.237
1995-12,4.972
1996-01,4.710
1996-02,4.461
1996-03,4.239
1996-04,4.011
1996-05,3.800
1996-06,3.591
1996-07,3.398
1996-08,3.210
1996-09,3.030
1996-10,2.865
1996-11,2.701
1996-12,2.551
1997-01,2.402
1997-02,2.263
1997-03,2.143
1997-04,2.016
1997-05,1.899
1997-06,1.785
1997-07,1.680
1997-08,1.578
1997-09,1.481
1997-10,1.393
1997-11,1.306
1997-12,1.226
1998-01,1.148
1998-02,1.076
1998-03,1.013
1998-04,0.948
1998-05,0.888
1998-06,0.830
1998-07,0.777
1998-08,0.726
1998-09,0.677
1998-10,0.633
1998-11,0.591
1998-12,0.551
1999-01,0.514
1999-02,0.478
1999-03,0.448
1999-04,0.417
1999-05,0.389
1999-06,0.361
1999-07,0.336
1999-08,0.312
1999-09,0.290
1999-10,0.270
1999-11,0.250
1999-12,0.232
2000-01,0.215
2000-02,0.199
2000-03,0.185
2000-04,0.171
2000-05,0.159
2000-06,0.147
2000-07,0.136
2000-08,0.125
2000-09,0.116
2000-10,0.107
2000-11,0.099
2000-12,0.091
2001-01,0.084
2001-02,0.077
2001-03,0.072
2001-04,0.066
2001-05,0.061
2001-06,0.056
2001-07,0.051
2001-08,0.047
2001-09,0.043
2001-10,0.040
2001-11,0.037
2001-12,0.034
2002-01,0.031
2002-02,0.028
2002-03,0.026
2002-04,0.024
2002-05,0.022
2002-06,0.020
2002-07,0.018
2002-08,0.017
2002-09,0.015
2002-10,0.014
2002-11,0.013
2002-12,0.012
2003-01,0.011
2003-02,0.010
2003-03,0.009
2003-04,0.008
2003-05,0.007
2003-06,0.007
2003-07,0.006
2003-08,0.005
2003-09,0.005
2003-10,0.005
2003-11,0.004
2003-12,0.004
2004-01,0.003
2004-02,0.003
2004-03,0.003
2004-04,0.003
2004-05,0.002
2004-06,0.002
2004-07,0.002
2004-08,0.002
2004-09,0.002
2004-10,0.001
2004-11,0.001
2004-12,0.001
2005-01,0.001
2005-02,0.001
2005-03,0.001
2005-04,0.001
2005-05,0.001
2005-06,0.001
2005-07,0.001
2005-08,0.000
2005-09,0.000
2005-10,0.000
2005-11,0.000
2005-12,0.000
2006-01,0.000
2006-02,0.000
2006-03,0.000
2006-04,0.000
2006-05,0.000
2006-06,0.000
2006-07,0.000
2006-08,0.000
2006-09,0.000
2006-10,0.000
2006-11,0.000
2006-12,0.000
2007-01,0.000
2007-02,0.000
2007-03,0.000
2007-04,0.000
2007-05,0.000
2007-06,0.000
2007-07,0.000
2007-08,0.000
2007-09,0.000
2007-10,0.000
2007-11,0.000
2007-12,0.000
2008-01,0.000
2008-02,0.000
2008-03,0.000
2008-04,0.000
2008-05,0.000
2008-06,0.000
2008-07,0.000
2008-08,0.000
2008-09,0.000
2008-10,0.000
2008-11,0.000
2008-12,0.000
2009-01,0.000
2009-02,0.000
2009-03,0.000
2009-04,0.000
2009-05,0.000
2009-06,0.000
2009-07,0.000
2009-08,0.000
2009-09,0.000
2009-10,0.000
2009-11,0.000
2009-12,0.000
2010-01,0.000
2010-02,0.000
2010-03,0.000
2010-04,0.000
2010-05,0.000
2010-06,0.000
2010-07,0.000
2010-08,0.000
2010-09,0.000
2010-10,0.000
2010-11,0.000
2010-12,0.000
2011-01,0.000
2011-02,0.000
2011-03,0.000
2011-04,0.000
2011-05,0.000
2011-06,0.000
2011-07,0.000
2011-08,0.000
2011-09,0.000
2011-10,0.000
2011-11,0.000
2011-12,0.000
2012-01,0.000
2012-02,0.000
2012-03,0.000
2012-04,0.000
2012-05,0.000
2012-06,0.000
2012-07,0.000
2012-08,0.000
2012-09,0.000
2012-10,0.000
2012-11,0.000
2012-12,0.000
2013-01,0.000
2013-02,0.000
2013-03,0.000
2013-04,0.000
2013-05,0.000
2013-06,0.000
2013-07,0.000
2013-08,0.000
2013-09,0.000
2013-10,0.000
2013-11,0.000
2013-12,0.000
2014-01,0.000
2014-02,0.000
2014-03,0.000
2014-04,0.000
2014-05,0.000
2014-06,0.000
2014-07,0.000
2014-08,0.000
2014-09,0.000
2014-10,0.000
2014-11,0.000
2014-12,0.000
2015-01,0.000
2015-02,0.000
2015-03,0.000
2015-04,0.000
2015-05,0.000
2015-06,0.000
2015-07,0.000
2015-08,0.000
2015-09,0.000
2015-10,0.000
2015-11,0.000
2015-12,0.000
2016-01,0.000
2016-02,0.000
2016-03,0.000
2016-04,0.000
2016-05,0.000
2016-06,0.000
2016-07,0.000
2016-08,0.000
2016-09,0.000
2016-10,0.000
2016-11,0.000
2016-12,0.000
2017-01,0.000
2017-02,0.000
2017-03,0.000
2017-04,0.000
2017-05,0.000
2017-06,0.000
2017-07,0.000
2017-08,0.000
2017-09,0.000
2017-10,0.000
2017-11,0.000
2017-12,0.000
2018-01,0.000
2018-02,0.000
2018-03,0.000
2018-04,0.000
2018-05,0.000
2018-06,0.000
2018-07,0.000
2018-08,0.000
2018-09,0.000
2018-10,0.000
2018-11,0.000
2018-12,0.000
2019-01,0.000
2019-02,0.000
2019-03,0.000
2019-04,0.000
2019-05,0.000
2019-06,0.000
2019-07,0.000
2019-08,0.000
2019-09,0.000
2019-10,0.000
2019-11,0.000
2019-12,0.000
