# Date,Value
1992-04,nan
1992-05,nan
1992-06,nan
1992-07,nan
1992-08,nan
1992-09,nan
1992-10,nan
1992-11,nan
1992-12,nan
1993-01,nan
1993-02,nan
1993-03,nan
1993-04,nan
1993-05,nan
1993-06,nan
1993-07,nan
1993-08,nan
1993-09,nan
1993-10,nan
1993-11,nan
1993-12,nan
1994-01,nan
1994-02,nan
1994-03,nan
1994-04,nan
1994-05,nan
1994-06,nan
1994-07,nan
1994-08,nan
1994-09,nan
1994-10,nan
1994-11,nan
1994-12,7.808
1995-01,nan
1995-02,nan
1995-03,nan
1995-04,nan
1995-05,nan
1995-06,nan
1995-07,nan
1995-08,nan
1995-09,nan
1995-10,nan
1995-11,nan
1995-12,nan
1996-01,nan
1996-02,nan
1996-03,nan
1996-04,nan
1996-05,nan
1996-06,nan
1996-07,nan
1996-08,nan
1996-09,nan
1996-10,nan
1996-11,nan
1996-12,nan
1997-01,nan
1997-02,nan
1997-03,nan
1997-04,nan
1997-05,nan
1997-06,nan
1997-07,nan
1997-08,nan
1997-09,nan
1997-10,nan
1997-11,nan
1997-12,nan
1998-01,nan
1998-02,nan
1998-03,nan
1998-04,nan
1998-05,nan
1998-06,nan
1998-07,nan
1998-08,nan
1998-09,nan
1998-10,nan
1998-11,nan
1998-12,nan
1999-01,nan
1999-02,nan
1999-03,nan
1999-04,nan
1999-05,nan
1999-06,nan
1999-07,nan
1999-08,nan
1999-09,nan
1999-10,nan
1999-11,nan
1999-12,5.579
2000-01,nan
2000-02,nan
2000-03,nan
2000-04,nan
2000-05,nan
2000-06,nan
2000-07,nan
2000-08,nan
2000-09,nan
2000-10,nan
2000-11,nan
2000-12,nan
2001-01,nan
2001-02,nan
2001-03,nan
2001-04,nan
2001-05,nan
2001-06,nan
2001-07,nan
2001-08,nan
2001-09,nan
2001-10,nan
2001-11,nan
2001-12,nan
2002-01,nan
2002-02,nan
2002-03,nan
2002-04,nan
2002-05,nan
2002-06,nan
2002-07,nan
2002-08,nan
2002-09,nan
2002-10,nan
2002-11,nan
2002-12,nan
2003-01,nan
2003-02,nan
2003-03,nan
2003-04,nan
2003-05,nan
2003-06,nan
2003-07,nan
2003-08,nan
2003-09,nan
2003-10,nan
2003-11,nan
2003-12,nan
2004-01,nan
2004-02,nan
2004-03,nan
2004-04,nan
2004-05,nan
2004-06,nan
2004-07,nan
2004-08,nan
2004-09,nan
2004-10,nan
2004-11,nan
2004-12,3.908
2005-01,nan
2005-02,nan
2005-03,nan
2005-04,nan
2005-05,nan
2005-06,nan
2005-07,nan
2005-08,nan
2005-09,nan
2005-10,nan
2005-11,nan
2005-12,nan
2006-01,nan
2006-02,nan
2006-03,nan
2006-04,nan
2006-05,nan
2006-06,nan
2006-07,nan
2006-08,nan
2006-09,nan
2006-10,nan
2006-11,nan
2006-12,nan
2007-01,nan
2007-02,nan
2007-03,nan
2007-04,nan
2007-05,nan
2007-06,nan
2007-07,nan
2007-08,nan
2007-09,nan
2007-10,nan
2007-11,nan
2007-12,nan
2008-01,nan
2008-02,nan
2008-03,nan
2008-04,nan
2008-05,nan
2008-06,nan
2008-07,nan
2008-08,nan
2008-09,nan
2008-10,nan
2008-11,nan
2008-12,nan
2009-01,nan
2009-02,nan
2009-03,nan
2009-04,nan
2009-05,nan
2009-06,nan
2009-07,nan
2009-08,nan
2009-09,nan
2009-10,nan
2009-11,nan
2009-12,2.710
2010-01,nan
2010-02,nan
2010-03,nan
2010-04,nan
2010-05,nan
2010-06,nan
2010-07,nan
2010-08,nan
2010-09,nan
2010-10,nan
2010-11,nan
2010-12,nan
2011-01,nan
2011-02,nan
2011-03,nan
2011-04,nan
2011-05,nan
2011-06,nan
2011-07,nan
2011-08,nan
2011-09,nan
2011-10,nan
2011-11,nan
2011-12,nan
2012-01,nan
2012-02,nan
2012-03,nan
2012-04,nan
2012-05,nan
2012-06,nan
2012-07,nan
2012-08,nan
2012-09,nan
2012-10,nan
2012-11,nan
2012-12,nan
2013-01,nan
2013-02,nan
2013-03,nan
2013-04,nan
2013-05,nan
2013-06,nan
2013-07,nan
2013-08,nan
2013-09,nan
2013-10,nan
2013-11,nan
2013-12,nan
2014-01,nan
2014-02,nan
2014-03,nan
2014-04,nan
2014-05,nan
2014-06,nan
2014-07,nan
2014-08,nan
2014-09,nan
2014-10,nan
2014-11,nan
2014-12,1.864
2015-01,nan
2015-02,nan
2015-03,nan
2015-04,nan
2015-05,nan
2015-06,nan
2015-07,nan
2015-08,nan
2015-09,nan
2015-10,nan
2015-11,nan
2015-12,nan
2016-01,nan
2016-02,nan
2016-03,nan
2016-04,nan
2016-05,nan
2016-06,nan
2016-07,nan
2016-08,nan
2016-09,nan
2016-10,nan
2016-11,nan
2016-12,nan
2017-01,nan
2017-02,nan
2017-03,nan
2017-04,nan
2017-05,nan
2017-06,nan
2017-07,nan
2017-08,nan
2017-09,nan
2017-10,nan
2017-11,nan
2017-12,nan
2018-01,nan
2018-02,nan
2018-03,nan
2018-04,nan
2018-05,nan
2018-06,nan
2018-07,nan
2018-08,nan
2018-09,nan
2018-10,nan
2018-11,nan
2018-12,nan
2019-01,nan
2019-02,nan
2019-03,nan
2019-04,nan
2019-05,nan
2019-06,nan
2019-07,nan
2019-08,nan
2019-09,nan
2019-10,nan
2019-11,nan
2019-12,1.280
