# Date, Value
1980-11,0.310
1980-12,0.321
1981-01,0.317
1981-02,0.306
1981-03,0.318
1981-04,0.320
1981-05,0.311
1981-06,0.320
1981-07,0.321
1981-08,0.313
1981-09,0.325
1981-10,0.328
1981-11,0.333
1981-12,0.335
1982-01,0.318
1982-02,0.322
1982-03,0.335
1982-04,0.337
1982-05,0.339
1982-06,0.366
1982-07,0.343
1982-08,0.348
1982-09,0.349
1982-10,0.349
1982-11,0.344
1982-12,0.354
1983-01,0.344
1983-02,0.350
1983-03,0.350
1983-04,0.356
1983-05,0.375
1983-06,0.346
1983-07,0.366
1983-08,0.351
1983-09,0.361
1983-10,0.375
1983-11,0.370
1983-12,0.362
1984-01,0.367
1984-02,0.379
1984-03,0.370
1984-04,0.378
1984-05,0.378
1984-06,0.374
1984-07,0.397
1984-08,0.387
1984-09,0.368
1984-10,0.386
1984-11,0.381
1984-12,0.393
1985-01,0.382
1985-02,0.388
1985-03,0.393
1985-04,0.397
1985-05,0.382
1985-06,0.389
1985-07,0.388
1985-08,0.387
1985-09,0.406
1985-10,0.396
1985-11,0.384
1985-12,0.401
1986-01,0.410
1986-02,0.402
1986-03,0.382
1986-04,0.390
1986-05,0.403
1986-06,0.389
1986-07,0.397
1986-08,0.399
1986-09,0.386
1986-10,0.393
1986-11,0.368
1986-12,0.385
1987-01,0.390
1987-02,0.383
1987-03,0.404
1987-04,0.380
1987-05,0.388
1987-06,0.391
1987-07,0.401
1987-08,0.379
1987-09,0.398
1987-10,0.388
1987-11,0.380
1987-12,0.391
1988-01,0.388
1988-02,0.382
1988-03,0.386
1988-04,0.382
1988-05,0.386
1988-06,0.389
1988-07,0.395
1988-08,0.373
1988-09,0.398
1988-10,0.367
1988-11,0.380
1988-12,0.385
1989-01,0.382
1989-02,0.375
1989-03,0.377
1989-04,0.374
1989-05,0.373
1989-06,0.383
1989-07,0.379
1989-08,0.370
1989-09,0.382
1989-10,0.377
1989-11,0.380
1989-12,0.378
1990-01,0.367
1990-02,0.368
1990-03,0.377
1990-04,0.376
1990-05,0.371
1990-06,0.371
1990-07,0.379
1990-08,0.365
1990-09,0.373
1990-10,0.367
1990-11,0.366
1990-12,0.376
1991-01,0.373
1991-02,0.372
1991-03,0.376
1991-04,0.366
1991-05,0.370
1991-06,0.362
1991-07,0.366
1991-08,0.362
1991-09,0.364
1991-10,0.367
1991-11,0.356
1991-12,0.377
1992-01,0.353
1992-02,0.351
1992-03,0.369
1992-04,0.366
1992-05,0.364
1992-06,0.363
1992-07,0.358
1992-08,0.351
1992-09,0.358
1992-10,0.352
1992-11,0.364
1992-12,0.355
1993-01,0.349
1993-02,0.353
1993-03,0.358
1993-04,0.350
1993-05,0.348
1993-06,0.355
1993-07,0.355
1993-08,0.349
1993-09,0.349
1993-10,0.354
1993-11,0.340
1993-12,0.340
1994-01,0.345
1994-02,0.349
1994-03,0.352
1994-04,0.361
1994-05,0.356
1994-06,0.348
1994-07,0.348
1994-08,0.341
1994-09,0.348
1994-10,0.345
1994-11,0.349
1994-12,0.340
1995-01,0.350
1995-02,0.358
1995-03,0.345
1995-04,0.348
1995-05,0.350
1995-06,0.341
1995-07,0.346
1995-08,0.344
1995-09,0.344
1995-10,0.337
1995-11,0.343
1995-12,0.346
1996-01,0.353
1996-02,0.349
1996-03,0.358
1996-04,0.335
1996-05,0.347
1996-06,0.342
1996-07,0.357
1996-08,0.334
1996-09,0.333
1996-10,0.335
1996-11,0.323
1996-12,0.335
1997-01,0.333
1997-02,0.339
1997-03,0.340
1997-04,0.352
1997-05,0.344
1997-06,0.333
1997-07,0.330
1997-08,0.340
1997-09,0.326
1997-10,0.350
1997-11,0.344
1997-12,0.332
1998-01,0.322
1998-02,0.345
1998-03,0.334
1998-04,0.344
1998-05,0.322
1998-06,0.329
1998-07,0.334
1998-08,0.334
1998-09,0.330
1998-10,0.338
1998-11,0.325
1998-12,0.331
1999-01,0.333
1999-02,0.336
1999-03,0.337
1999-04,0.323
1999-05,0.320
1999-06,0.341
1999-07,0.333
1999-08,0.325
1999-09,0.342
1999-10,0.331
1999-11,0.339
1999-12,0.330
2000-01,0.345
2000-02,0.343
2000-03,0.327
2000-04,0.336
2000-05,0.334
2000-06,0.339
2000-07,0.321
2000-08,0.333
2000-09,0.336
2000-10,0.315
2000-11,0.319
2000-12,0.312
2001-01,0.325
2001-02,0.332
2001-03,0.338
2001-04,0.327
2001-05,0.339
2001-06,0.316
2001-07,0.313
2001-08,0.325
2001-09,0.328
2001-10,0.325
2001-11,0.310
2001-12,0.324
2002-01,0.315
2002-02,0.330
2002-03,0.327
2002-04,0.317
2002-05,0.320
2002-06,0.316
2002-07,0.323
2002-08,0.330
2002-09,0.316
2002-10,0.327
2002-11,0.319
2002-12,0.317
2003-01,0.322
2003-02,0.314
2003-03,0.318
2003-04,0.313
2003-05,0.337
2003-06,0.322
2003-07,0.316
2003-08,0.323
2003-09,0.320
2003-10,0.319
2003-11,0.326
2003-12,0.327
2004-01,0.317
2004-02,0.316
2004-03,0.318
2004-04,0.303
2004-05,0.309
2004-06,0.330
2004-07,0.332
2004-08,0.318
2004-09,0.324
2004-10,0.322
2004-11,0.343
2004-12,0.328
2005-01,0.318
2005-02,0.312
2005-03,0.307
2005-04,0.320
2005-05,0.313
2005-06,0.308
2005-07,0.313
2005-08,0.310
2005-09,0.331
2005-10,0.325
2005-11,0.318
2005-12,0.329
2006-01,0.318
2006-02,0.311
2006-03,0.329
2006-04,0.321
2006-05,0.309
2006-06,0.315
2006-07,0.310
2006-08,0.306
2006-09,0.324
2006-10,0.331
2006-11,0.306
2006-12,0.320
2007-01,0.311
2007-02,0.312
2007-03,0.311
2007-04,0.309
2007-05,0.316
2007-06,0.309
2007-07,0.317
2007-08,0.315
2007-09,0.313
2007-10,0.308
2007-11,0.310
2007-12,0.320
2008-01,0.318
2008-02,0.307
2008-03,0.315
2008-04,0.320
2008-05,0.302
2008-06,0.318
2008-07,0.309
2008-08,0.319
2008-09,0.308
2008-10,0.301
2008-11,0.302
2008-12,0.314
2009-01,0.316
2009-02,0.307
2009-03,0.318
2009-04,0.301
2009-05,0.313
2009-06,0.304
2009-07,0.308
2009-08,0.313
2009-09,0.307
2009-10,0.310
2009-11,0.320
2009-12,0.308
